ChEMBLID	study	gene_name	drug_name	interaction_claim_source
CHEMBL413	Calvert2016	ABCB1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	TdgClinicalTrial
CHEMBL413	Calvert2016	CTLA4	SIROLIMUS	NCI
CHEMBL413	Calvert2016	WT1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	PGR	SIROLIMUS	NCI
CHEMBL413	Calvert2016	PIM1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	IGFBP1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	TALC
CHEMBL413	Calvert2016	RB1	SIROLIMUS	CKB
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	DoCM
CHEMBL413	Calvert2016	PTEN	SIROLIMUS	CGI
CHEMBL413	Calvert2016	TSC1	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	FKBP4	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	TTD
CHEMBL413	Calvert2016	EIF4E	SIROLIMUS	NCI
CHEMBL413	Calvert2016	KRAS	SIROLIMUS	CKB
CHEMBL413	Calvert2016	DDC	SIROLIMUS	NCI
CHEMBL413	Calvert2016	EGFR	SIROLIMUS	CKB
CHEMBL413	Calvert2016	MAPK10	SIROLIMUS	NCI
CHEMBL413	Calvert2016	ERBB2	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	NF1	SIROLIMUS	CGI
CHEMBL413	Calvert2016	PRKAA1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	APC	SIROLIMUS	CKB
CHEMBL413	Calvert2016	IL17A	SIROLIMUS	NCI
CHEMBL413	Calvert2016	FGFR1	SIROLIMUS	CKB
CHEMBL413	Calvert2016	IL15	SIROLIMUS	NCI
CHEMBL413	Calvert2016	RPS6KB1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	TP53	SIROLIMUS	CKB
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	OncoKB
CHEMBL413	Calvert2016	FBXW7	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	FKBP1A	SIROLIMUS	TdgClinicalTrial
CHEMBL413	Calvert2016	DCN	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MMP1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	EGFR	SIROLIMUS	DoCM
CHEMBL413	Calvert2016	ITGAL	SIROLIMUS	NCI
CHEMBL98350	Calvert2016	PIK3CD	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	BRD3	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	BRAF	LY-294002	CKB
CHEMBL98350	Calvert2016	PIK3CA	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	PIK3CA	LY-294002	CKB
CHEMBL98350	Calvert2016	BRD4	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	KRAS	LY-294002	CKB
CHEMBL98350	Calvert2016	PIK3CB	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	PIK3CG	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	AMH	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	PTEN	LY-294002	CIViC
CHEMBL98350	Calvert2016	BRD2	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Calvert2016	PIK3CG	LY-294002	TTD
CHEMBL98350	Calvert2016	MTOR	LY-294002	CIViC
CHEMBL98	Calvert2016	HDAC7	VORINOSTAT	MyCancerGenome
CHEMBL98	Calvert2016	HDAC8	VORINOSTAT	TEND
CHEMBL98	Calvert2016	RB1	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC11	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Calvert2016	HDAC10	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Calvert2016	HDAC8	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC10	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC9	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Calvert2016	HDAC3	VORINOSTAT	ChemblInteractions
CHEMBL98	Calvert2016	HDAC4	VORINOSTAT	TALC
CHEMBL98	Calvert2016	GNA11	VORINOSTAT	CGI
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	TTD
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	TEND
CHEMBL98	Calvert2016	FBXW7	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC4	VORINOSTAT	MyCancerGenome
CHEMBL98	Calvert2016	HDAC3	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC6	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Calvert2016	EZH2	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC2	VORINOSTAT	TEND
CHEMBL98	Calvert2016	HDAC5	VORINOSTAT	TALC
CHEMBL98	Calvert2016	SMARCB1	VORINOSTAT	CKB
CHEMBL98	Calvert2016	TP53	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC2	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC6	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC11	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC5	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC7	VORINOSTAT	TALC
CHEMBL98	Calvert2016	MYD88	VORINOSTAT	CKB
CHEMBL98	Calvert2016	BAP1	VORINOSTAT	CIViC
CHEMBL98	Calvert2016	HDAC10	VORINOSTAT	TALC
CHEMBL98	Calvert2016	BRAF	VORINOSTAT	CKB
CHEMBL98	Calvert2016	MYC	VORINOSTAT	NCI
CHEMBL98	Calvert2016	ERBB2	VORINOSTAT	NCI
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	ChemblInteractions
CHEMBL98	Calvert2016	HDAC2	VORINOSTAT	ChemblInteractions
CHEMBL98	Calvert2016	HDAC3	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Calvert2016	HDAC6	VORINOSTAT	ChemblInteractions
CHEMBL98	Calvert2016	HDAC9	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC3	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC9	VORINOSTAT	MyCancerGenome
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	MyCancerGenome
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	TALC
CHEMBL98	Calvert2016	PTEN	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC8	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	NPM1	VORINOSTAT	CKB
CHEMBL98	Calvert2016	HDAC11	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	BIRC5	VORINOSTAT	NCI
CHEMBL98	Calvert2016	HDAC2	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC6	VORINOSTAT	TALC
CHEMBL98	Calvert2016	HDAC3	VORINOSTAT	TEND
CHEMBL98	Calvert2016	HDAC9	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC1	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Calvert2016	HDAC2	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Calvert2016	HDAC6	VORINOSTAT	TEND
CHEMBL109480	Calvert2016	HSP90AB1	TANESPIMYCIN	ChemblInteractions
CHEMBL109480	Calvert2016	TP53	TANESPIMYCIN	CKB
CHEMBL109480	Calvert2016	MET	TANESPIMYCIN	GuideToPharmacologyInteractions
CHEMBL109480	Calvert2016	HSP90AA1	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Calvert2016	HSP90AA2P	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Calvert2016	HSP90AB1	TANESPIMYCIN	TdgClinicalTrial
CHEMBL109480	Calvert2016	HSP90AB1	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Calvert2016	HSP90AA1	TANESPIMYCIN	ChemblInteractions
CHEMBL109480	Calvert2016	HSP90AA1	TANESPIMYCIN	TTD
CHEMBL109480	Calvert2016	HSP90AA1	TANESPIMYCIN	TdgClinicalTrial
CHEMBL99	Calvert2016	FHIT	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	IL2	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	BHLHE40	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HIST3H2A	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HDAC2	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	HDAC8	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	HDAC5	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	HDAC3	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	HDAC7	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	ABCB1	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HDAC4	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	SLC25A5	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	BRD4	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HIST4H4	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HDAC1	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	CYP3A4	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	BLM	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	HDAC9	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	BDNF	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	RB1	TRICHOSTATIN	CKB
CHEMBL99	Calvert2016	HDAC6	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Calvert2016	SFTPA1	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	CYP27B1	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	TNFSF10	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	PLAU	TRICHOSTATIN	NCI
CHEMBL99	Calvert2016	CDKN2D	TRICHOSTATIN	NCI
CHEMBL1624	Donertas2018	THRA	LEVOTHYROXINE	TdgClinicalTrial
CHEMBL1624	Donertas2018	SERPINE1	LEVOTHYROXINE	NCI
CHEMBL1624	Donertas2018	THRB	LEVOTHYROXINE	TdgClinicalTrial
CHEMBL1624	Donertas2018	THBD	LEVOTHYROXINE	NCI
CHEMBL1624	Donertas2018	THRB	LEVOTHYROXINE	TEND
CHEMBL1624	Donertas2018	TSHB	LEVOTHYROXINE	NCI
CHEMBL1624	Donertas2018	F9	LEVOTHYROXINE	NCI
CHEMBL1624	Donertas2018	THRA	LEVOTHYROXINE	TEND
CHEMBL2103741	Donertas2018	THRB	LEVOTHYROXINE SODIUM	ChemblInteractions
CHEMBL2103741	Donertas2018	THRA	LEVOTHYROXINE SODIUM	ChemblInteractions
CHEMBL278315	Donertas2018	HIF1A	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	CD28	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	FCGR3A	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	CEL	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	VIM	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	MYOD1	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	PLAU	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	FLT3	GELDANAMYCIN	NCI
CHEMBL278315	Donertas2018	FCGR3B	GELDANAMYCIN	NCI
CHEMBL109480	Donertas2018	HSP90AB1	TANESPIMYCIN	ChemblInteractions
CHEMBL109480	Donertas2018	TP53	TANESPIMYCIN	CKB
CHEMBL109480	Donertas2018	MET	TANESPIMYCIN	GuideToPharmacologyInteractions
CHEMBL109480	Donertas2018	HSP90AA1	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Donertas2018	HSP90AA2P	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Donertas2018	HSP90AB1	TANESPIMYCIN	TdgClinicalTrial
CHEMBL109480	Donertas2018	HSP90AB1	TANESPIMYCIN	MyCancerGenome
CHEMBL109480	Donertas2018	HSP90AA1	TANESPIMYCIN	ChemblInteractions
CHEMBL109480	Donertas2018	HSP90AA1	TANESPIMYCIN	TTD
CHEMBL109480	Donertas2018	HSP90AA1	TANESPIMYCIN	TdgClinicalTrial
CHEMBL383824	Donertas2018	HSP90AA1	ALVESPIMYCIN	TdgClinicalTrial
CHEMBL383824	Donertas2018	TP53	ALVESPIMYCIN	CKB
CHEMBL383824	Donertas2018	MET	ALVESPIMYCIN	CKB
CHEMBL383824	Donertas2018	HSP90AB1	ALVESPIMYCIN	TdgClinicalTrial
CHEMBL98	Donertas2018	HDAC7	VORINOSTAT	MyCancerGenome
CHEMBL98	Donertas2018	HDAC8	VORINOSTAT	TEND
CHEMBL98	Donertas2018	RB1	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC11	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Donertas2018	HDAC10	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Donertas2018	HDAC8	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC10	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC9	VORINOSTAT	ClearityFoundationClinicalTrial
CHEMBL98	Donertas2018	HDAC3	VORINOSTAT	ChemblInteractions
CHEMBL98	Donertas2018	HDAC4	VORINOSTAT	TALC
CHEMBL98	Donertas2018	GNA11	VORINOSTAT	CGI
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	TTD
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	TEND
CHEMBL98	Donertas2018	FBXW7	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC4	VORINOSTAT	MyCancerGenome
CHEMBL98	Donertas2018	HDAC3	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC6	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Donertas2018	EZH2	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC2	VORINOSTAT	TEND
CHEMBL98	Donertas2018	HDAC5	VORINOSTAT	TALC
CHEMBL98	Donertas2018	SMARCB1	VORINOSTAT	CKB
CHEMBL98	Donertas2018	TP53	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC2	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC6	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC11	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC5	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC7	VORINOSTAT	TALC
CHEMBL98	Donertas2018	MYD88	VORINOSTAT	CKB
CHEMBL98	Donertas2018	BAP1	VORINOSTAT	CIViC
CHEMBL98	Donertas2018	HDAC10	VORINOSTAT	TALC
CHEMBL98	Donertas2018	BRAF	VORINOSTAT	CKB
CHEMBL98	Donertas2018	MYC	VORINOSTAT	NCI
CHEMBL98	Donertas2018	ERBB2	VORINOSTAT	NCI
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	ChemblInteractions
CHEMBL98	Donertas2018	HDAC2	VORINOSTAT	ChemblInteractions
CHEMBL98	Donertas2018	HDAC3	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Donertas2018	HDAC6	VORINOSTAT	ChemblInteractions
CHEMBL98	Donertas2018	HDAC9	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC3	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC9	VORINOSTAT	MyCancerGenome
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	MyCancerGenome
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	TALC
CHEMBL98	Donertas2018	PTEN	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC8	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	NPM1	VORINOSTAT	CKB
CHEMBL98	Donertas2018	HDAC11	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	BIRC5	VORINOSTAT	NCI
CHEMBL98	Donertas2018	HDAC2	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC6	VORINOSTAT	TALC
CHEMBL98	Donertas2018	HDAC3	VORINOSTAT	TEND
CHEMBL98	Donertas2018	HDAC9	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC1	VORINOSTAT	GuideToPharmacologyInteractions
CHEMBL98	Donertas2018	HDAC2	VORINOSTAT	TdgClinicalTrial
CHEMBL98	Donertas2018	HDAC6	VORINOSTAT	TEND
CHEMBL99	Donertas2018	FHIT	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	IL2	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	BHLHE40	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HIST3H2A	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HDAC2	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	HDAC8	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	HDAC5	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	HDAC3	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	HDAC7	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	ABCB1	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HDAC4	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	SLC25A5	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	BRD4	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HIST4H4	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HDAC1	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	CYP3A4	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	BLM	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	HDAC9	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	BDNF	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	RB1	TRICHOSTATIN	CKB
CHEMBL99	Donertas2018	HDAC6	TRICHOSTATIN	GuideToPharmacologyInteractions
CHEMBL99	Donertas2018	SFTPA1	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	CYP27B1	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	TNFSF10	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	PLAU	TRICHOSTATIN	NCI
CHEMBL99	Donertas2018	CDKN2D	TRICHOSTATIN	NCI
CHEMBL422	Donertas2018	HRH1	TRIFLUOPERAZINE	GuideToPharmacologyInteractions
CHEMBL422	Donertas2018	CAMK2B	TRIFLUOPERAZINE	NCI
CHEMBL422	Donertas2018	DRD4	TRIFLUOPERAZINE	GuideToPharmacologyInteractions
CHEMBL422	Donertas2018	DRD2	TRIFLUOPERAZINE	TEND
CHEMBL422	Donertas2018	HTR2A	TRIFLUOPERAZINE	GuideToPharmacologyInteractions
CHEMBL422	Donertas2018	CALY	TRIFLUOPERAZINE	TdgClinicalTrial
CHEMBL422	Donertas2018	LIPA	TRIFLUOPERAZINE	NCI
CHEMBL422	Donertas2018	TP53	TRIFLUOPERAZINE	NCI
CHEMBL422	Donertas2018	ADRA1A	TRIFLUOPERAZINE	TEND
CHEMBL422	Donertas2018	CALY	TRIFLUOPERAZINE	TEND
CHEMBL422	Donertas2018	ADRA1A	TRIFLUOPERAZINE	TdgClinicalTrial
CHEMBL422	Donertas2018	APOB	TRIFLUOPERAZINE	NCI
CHEMBL422	Donertas2018	DRD2	TRIFLUOPERAZINE	GuideToPharmacologyInteractions
CHEMBL422	Donertas2018	HTR2C	TRIFLUOPERAZINE	GuideToPharmacologyInteractions
CHEMBL422	Donertas2018	CSF2	TRIFLUOPERAZINE	NCI
CHEMBL422	Donertas2018	DRD2	TRIFLUOPERAZINE	TdgClinicalTrial
CHEMBL38	Donertas2018	NRIP1	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARG	TRETINOIN	ChemblInteractions
CHEMBL38	Donertas2018	FAS	TRETINOIN	NCI
CHEMBL38	Donertas2018	MYCN	TRETINOIN	NCI
CHEMBL38	Donertas2018	MAPK8	TRETINOIN	NCI
CHEMBL38	Donertas2018	RXRB	TRETINOIN	TdgClinicalTrial
CHEMBL38	Donertas2018	ITGB2	TRETINOIN	NCI
CHEMBL38	Donertas2018	LIF	TRETINOIN	NCI
CHEMBL38	Donertas2018	NOS1	TRETINOIN	NCI
CHEMBL38	Donertas2018	ALPL	TRETINOIN	NCI
CHEMBL38	Donertas2018	PTCH1	TRETINOIN	NCI
CHEMBL38	Donertas2018	P2RY2	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARB	TRETINOIN	NCI
CHEMBL38	Donertas2018	MST1	TRETINOIN	NCI
CHEMBL38	Donertas2018	EGR2	TRETINOIN	NCI
CHEMBL38	Donertas2018	HOXD1	TRETINOIN	NCI
CHEMBL38	Donertas2018	TG	TRETINOIN	NCI
CHEMBL38	Donertas2018	PPARD	TRETINOIN	GuideToPharmacologyInteractions
CHEMBL38	Donertas2018	NFE2L2	TRETINOIN	NCI
CHEMBL38	Donertas2018	SHH	TRETINOIN	NCI
CHEMBL38	Donertas2018	SPP1	TRETINOIN	NCI
CHEMBL38	Donertas2018	PML	TRETINOIN	FDA
CHEMBL38	Donertas2018	CEACAM1	TRETINOIN	NCI
CHEMBL38	Donertas2018	TP73	TRETINOIN	NCI
CHEMBL38	Donertas2018	CALR	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARG	TRETINOIN	TEND
CHEMBL38	Donertas2018	PRL	TRETINOIN	NCI
CHEMBL38	Donertas2018	APOA1	TRETINOIN	NCI
CHEMBL38	Donertas2018	RXRG	TRETINOIN	TEND
CHEMBL38	Donertas2018	SLC2A1	TRETINOIN	NCI
CHEMBL38	Donertas2018	TGFB1	TRETINOIN	NCI
CHEMBL38	Donertas2018	RPE65	TRETINOIN	NCI
CHEMBL38	Donertas2018	CXCL8	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARG	TRETINOIN	TdgClinicalTrial
CHEMBL38	Donertas2018	IFNG	TRETINOIN	NCI
CHEMBL38	Donertas2018	NR4A1	TRETINOIN	NCI
CHEMBL38	Donertas2018	BCOR	TRETINOIN	CKB
CHEMBL38	Donertas2018	SMAD2	TRETINOIN	NCI
CHEMBL38	Donertas2018	THBS1	TRETINOIN	NCI
CHEMBL38	Donertas2018	HES1	TRETINOIN	NCI
CHEMBL38	Donertas2018	RORB	TRETINOIN	GuideToPharmacologyInteractions
CHEMBL38	Donertas2018	IL10	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARA	TRETINOIN	FDA
CHEMBL38	Donertas2018	BIRC5	TRETINOIN	NCI
CHEMBL38	Donertas2018	FLT3	TRETINOIN	CIViC
CHEMBL38	Donertas2018	TPO	TRETINOIN	NCI
CHEMBL38	Donertas2018	OCLN	TRETINOIN	NCI
CHEMBL38	Donertas2018	PML	TRETINOIN	CIViC
CHEMBL38	Donertas2018	MDK	TRETINOIN	NCI
CHEMBL38	Donertas2018	PTPRZ1	TRETINOIN	NCI
CHEMBL38	Donertas2018	BCL2	TRETINOIN	NCI
CHEMBL38	Donertas2018	IL1R1	TRETINOIN	NCI
CHEMBL38	Donertas2018	NPM1	TRETINOIN	CIViC
CHEMBL38	Donertas2018	AMH	TRETINOIN	NCI
CHEMBL38	Donertas2018	APOE	TRETINOIN	NCI
CHEMBL38	Donertas2018	DUSP6	TRETINOIN	NCI
CHEMBL38	Donertas2018	CDKN1B	TRETINOIN	NCI
CHEMBL38	Donertas2018	RB1	TRETINOIN	NCI
CHEMBL38	Donertas2018	HSPA8	TRETINOIN	NCI
CHEMBL38	Donertas2018	MYOD1	TRETINOIN	NCI
CHEMBL38	Donertas2018	FUS	TRETINOIN	NCI
CHEMBL38	Donertas2018	PML	TRETINOIN	CGI
CHEMBL38	Donertas2018	CD55	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARA	TRETINOIN	ChemblInteractions
CHEMBL38	Donertas2018	HOXB1	TRETINOIN	NCI
CHEMBL38	Donertas2018	RXRB	TRETINOIN	TEND
CHEMBL38	Donertas2018	HAS3	TRETINOIN	NCI
CHEMBL38	Donertas2018	ADH1C	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARA	TRETINOIN	GuideToPharmacologyInteractions
CHEMBL38	Donertas2018	TSPYL2	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARA	TRETINOIN	NCI
CHEMBL38	Donertas2018	SFTPA1	TRETINOIN	NCI
CHEMBL38	Donertas2018	GLI1	TRETINOIN	NCI
CHEMBL38	Donertas2018	BAX	TRETINOIN	NCI
CHEMBL38	Donertas2018	RET	TRETINOIN	NCI
CHEMBL38	Donertas2018	TBP	TRETINOIN	NCI
CHEMBL38	Donertas2018	WT1	TRETINOIN	NCI
CHEMBL38	Donertas2018	SMARCA4	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARRES1	TRETINOIN	TEND
CHEMBL38	Donertas2018	FLT3	TRETINOIN	CKB
CHEMBL38	Donertas2018	XIAP	TRETINOIN	NCI
CHEMBL38	Donertas2018	NR2C1	TRETINOIN	NCI
CHEMBL38	Donertas2018	BHLHE40	TRETINOIN	NCI
CHEMBL38	Donertas2018	ALDH1A2	TRETINOIN	NCI
CHEMBL38	Donertas2018	RARB	TRETINOIN	ChemblInteractions
CHEMBL38	Donertas2018	RXRG	TRETINOIN	TdgClinicalTrial
CHEMBL38	Donertas2018	TGFBR3	TRETINOIN	NCI
CHEMBL38	Donertas2018	NR2C2	TRETINOIN	GuideToPharmacologyInteractions
CHEMBL38	Donertas2018	KLK3	TRETINOIN	NCI
CHEMBL98350	Donertas2018	PIK3CD	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	BRD3	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	BRAF	LY-294002	CKB
CHEMBL98350	Donertas2018	PIK3CA	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	PIK3CA	LY-294002	CKB
CHEMBL98350	Donertas2018	BRD4	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	KRAS	LY-294002	CKB
CHEMBL98350	Donertas2018	PIK3CB	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	PIK3CG	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	AMH	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	PTEN	LY-294002	CIViC
CHEMBL98350	Donertas2018	BRD2	LY-294002	GuideToPharmacologyInteractions
CHEMBL98350	Donertas2018	PIK3CG	LY-294002	TTD
CHEMBL98350	Donertas2018	MTOR	LY-294002	CIViC
CHEMBL479	Donertas2018	SERPINA3	THIORIDAZINE	GuideToPharmacologyInteractions
CHEMBL479	Donertas2018	HTR2C	THIORIDAZINE	GuideToPharmacologyInteractions
CHEMBL479	Donertas2018	HTR2A	THIORIDAZINE	GuideToPharmacologyInteractions
