Study	pathID	Pathway	percentageTargeted	percentage_in_Human_GenAge	percentage_in_Model_GenAge	percentage_targeted_by_DrugAge
Donertas2018	hsa04020	Calcium signaling pathway	0.10606060606060606	0.06818181818181818	0.14393939393939395	0.2878787878787879
Fernandes2016	hsa04020	Calcium signaling pathway	0.06818181818181818	0.06818181818181818	0.14393939393939395	0.2878787878787879
Fuentealba2018	hsa04020	Calcium signaling pathway	0.045454545454545456	0.06818181818181818	0.14393939393939395	0.2878787878787879
Liu2016	hsa04020	Calcium signaling pathway	0.24242424242424243	0.06818181818181818	0.14393939393939395	0.2878787878787879
Mofidifar2018	hsa04020	Calcium signaling pathway	0	0.06818181818181818	0.14393939393939395	0.2878787878787879
Snell2016	hsa04020	Calcium signaling pathway	0.06060606060606061	0.06818181818181818	0.14393939393939395	0.2878787878787879
Snell2018	hsa04020	Calcium signaling pathway	0.12121212121212122	0.06818181818181818	0.14393939393939395	0.2878787878787879
Yang2018	hsa04020	Calcium signaling pathway	0	0.06818181818181818	0.14393939393939395	0.2878787878787879
Ziehm2017	hsa04020	Calcium signaling pathway	0.03787878787878788	0.06818181818181818	0.14393939393939395	0.2878787878787879
Aliper2016	hsa04022	cGMP-PKG signaling pathway	0.022222222222222223	0.1	0.3888888888888889	0.3111111111111111
Barardo2017	hsa04022	cGMP-PKG signaling pathway	0.011111111111111112	0.1	0.3888888888888889	0.3111111111111111
Calvert2016	hsa04022	cGMP-PKG signaling pathway	0.044444444444444446	0.1	0.3888888888888889	0.3111111111111111
Donertas2018	hsa04022	cGMP-PKG signaling pathway	0.05555555555555555	0.1	0.3888888888888889	0.3111111111111111
Fernandes2016	hsa04022	cGMP-PKG signaling pathway	0.06666666666666667	0.1	0.3888888888888889	0.3111111111111111
Fuentealba2018	hsa04022	cGMP-PKG signaling pathway	0.044444444444444446	0.1	0.3888888888888889	0.3111111111111111
Liu2016	hsa04022	cGMP-PKG signaling pathway	0.17777777777777778	0.1	0.3888888888888889	0.3111111111111111
Mofidifar2018	hsa04022	cGMP-PKG signaling pathway	0	0.1	0.3888888888888889	0.3111111111111111
Snell2016	hsa04022	cGMP-PKG signaling pathway	0.1	0.1	0.3888888888888889	0.3111111111111111
Snell2018	hsa04022	cGMP-PKG signaling pathway	0.1111111111111111	0.1	0.3888888888888889	0.3111111111111111
Yang2018	hsa04022	cGMP-PKG signaling pathway	0	0.1	0.3888888888888889	0.3111111111111111
Ziehm2017	hsa04022	cGMP-PKG signaling pathway	0.05555555555555555	0.1	0.3888888888888889	0.3111111111111111
Aliper2016	hsa04024	cAMP signaling pathway	0.072992700729927	0.12408759124087591	0.2116788321167883	0.36496350364963503
Barardo2017	hsa04024	cAMP signaling pathway	0.072992700729927	0.12408759124087591	0.2116788321167883	0.36496350364963503
Calvert2016	hsa04024	cAMP signaling pathway	0.058394160583941604	0.12408759124087591	0.2116788321167883	0.36496350364963503
Donertas2018	hsa04024	cAMP signaling pathway	0.15328467153284672	0.12408759124087591	0.2116788321167883	0.36496350364963503
Fernandes2016	hsa04024	cAMP signaling pathway	0.08759124087591241	0.12408759124087591	0.2116788321167883	0.36496350364963503
Fuentealba2018	hsa04024	cAMP signaling pathway	0.051094890510948905	0.12408759124087591	0.2116788321167883	0.36496350364963503
Liu2016	hsa04024	cAMP signaling pathway	0.20437956204379562	0.12408759124087591	0.2116788321167883	0.36496350364963503
Mofidifar2018	hsa04024	cAMP signaling pathway	0	0.12408759124087591	0.2116788321167883	0.36496350364963503
Snell2016	hsa04024	cAMP signaling pathway	0.0948905109489051	0.12408759124087591	0.2116788321167883	0.36496350364963503
Snell2018	hsa04024	cAMP signaling pathway	0.11678832116788321	0.12408759124087591	0.2116788321167883	0.36496350364963503
Yang2018	hsa04024	cAMP signaling pathway	0	0.12408759124087591	0.2116788321167883	0.36496350364963503
Ziehm2017	hsa04024	cAMP signaling pathway	0.06569343065693431	0.12408759124087591	0.2116788321167883	0.36496350364963503
Aliper2016	hsa04060	Cytokine-cytokine receptor interaction	0.05232558139534884	0.08139534883720931	0.03488372093023256	0.18023255813953487
Barardo2017	hsa04060	Cytokine-cytokine receptor interaction	0.01744186046511628	0.08139534883720931	0.03488372093023256	0.18023255813953487
Calvert2016	hsa04060	Cytokine-cytokine receptor interaction	0.046511627906976744	0.08139534883720931	0.03488372093023256	0.18023255813953487
Donertas2018	hsa04060	Cytokine-cytokine receptor interaction	0.09883720930232558	0.08139534883720931	0.03488372093023256	0.18023255813953487
Fernandes2016	hsa04060	Cytokine-cytokine receptor interaction	0.023255813953488372	0.08139534883720931	0.03488372093023256	0.18023255813953487
Fuentealba2018	hsa04060	Cytokine-cytokine receptor interaction	0.046511627906976744	0.08139534883720931	0.03488372093023256	0.18023255813953487
Liu2016	hsa04060	Cytokine-cytokine receptor interaction	0.09302325581395349	0.08139534883720931	0.03488372093023256	0.18023255813953487
Mofidifar2018	hsa04060	Cytokine-cytokine receptor interaction	0.005813953488372093	0.08139534883720931	0.03488372093023256	0.18023255813953487
Snell2016	hsa04060	Cytokine-cytokine receptor interaction	0.05232558139534884	0.08139534883720931	0.03488372093023256	0.18023255813953487
Snell2018	hsa04060	Cytokine-cytokine receptor interaction	0.046511627906976744	0.08139534883720931	0.03488372093023256	0.18023255813953487
Yang2018	hsa04060	Cytokine-cytokine receptor interaction	0	0.08139534883720931	0.03488372093023256	0.18023255813953487
Ziehm2017	hsa04060	Cytokine-cytokine receptor interaction	0.01744186046511628	0.08139534883720931	0.03488372093023256	0.18023255813953487
Aliper2016	hsa04062	Chemokine signaling pathway	0.08653846153846154	0.19230769230769232	0.19230769230769232	0.3076923076923077
Barardo2017	hsa04062	Chemokine signaling pathway	0.057692307692307696	0.19230769230769232	0.19230769230769232	0.3076923076923077
Calvert2016	hsa04062	Chemokine signaling pathway	0.07692307692307693	0.19230769230769232	0.19230769230769232	0.3076923076923077
Donertas2018	hsa04062	Chemokine signaling pathway	0.08653846153846154	0.19230769230769232	0.19230769230769232	0.3076923076923077
Fernandes2016	hsa04062	Chemokine signaling pathway	0.09615384615384616	0.19230769230769232	0.19230769230769232	0.3076923076923077
Fuentealba2018	hsa04062	Chemokine signaling pathway	0.1346153846153846	0.19230769230769232	0.19230769230769232	0.3076923076923077
Liu2016	hsa04062	Chemokine signaling pathway	0.11538461538461539	0.19230769230769232	0.19230769230769232	0.3076923076923077
Mofidifar2018	hsa04062	Chemokine signaling pathway	0.009615384615384616	0.19230769230769232	0.19230769230769232	0.3076923076923077
Snell2016	hsa04062	Chemokine signaling pathway	0.057692307692307696	0.19230769230769232	0.19230769230769232	0.3076923076923077
Snell2018	hsa04062	Chemokine signaling pathway	0.038461538461538464	0.19230769230769232	0.19230769230769232	0.3076923076923077
Yang2018	hsa04062	Chemokine signaling pathway	0	0.19230769230769232	0.19230769230769232	0.3076923076923077
Ziehm2017	hsa04062	Chemokine signaling pathway	0.20192307692307693	0.19230769230769232	0.19230769230769232	0.3076923076923077
Aliper2016	hsa04064	NF-kappa B signaling pathway	0.07142857142857142	0.19642857142857142	0.05357142857142857	0.2857142857142857
Barardo2017	hsa04064	NF-kappa B signaling pathway	0.05357142857142857	0.19642857142857142	0.05357142857142857	0.2857142857142857
Calvert2016	hsa04064	NF-kappa B signaling pathway	0.03571428571428571	0.19642857142857142	0.05357142857142857	0.2857142857142857
Donertas2018	hsa04064	NF-kappa B signaling pathway	0.16071428571428573	0.19642857142857142	0.05357142857142857	0.2857142857142857
Fernandes2016	hsa04064	NF-kappa B signaling pathway	0.07142857142857142	0.19642857142857142	0.05357142857142857	0.2857142857142857
Fuentealba2018	hsa04064	NF-kappa B signaling pathway	0.14285714285714285	0.19642857142857142	0.05357142857142857	0.2857142857142857
Liu2016	hsa04064	NF-kappa B signaling pathway	0.16071428571428573	0.19642857142857142	0.05357142857142857	0.2857142857142857
Mofidifar2018	hsa04064	NF-kappa B signaling pathway	0.017857142857142856	0.19642857142857142	0.05357142857142857	0.2857142857142857
Snell2016	hsa04064	NF-kappa B signaling pathway	0.16071428571428573	0.19642857142857142	0.05357142857142857	0.2857142857142857
Snell2018	hsa04064	NF-kappa B signaling pathway	0.125	0.19642857142857142	0.05357142857142857	0.2857142857142857
Yang2018	hsa04064	NF-kappa B signaling pathway	0	0.19642857142857142	0.05357142857142857	0.2857142857142857
Ziehm2017	hsa04064	NF-kappa B signaling pathway	0.05357142857142857	0.19642857142857142	0.05357142857142857	0.2857142857142857
Aliper2016	hsa04066	HIF-1 signaling pathway	0.06578947368421052	0.34210526315789475	0.2631578947368421	0.4342105263157895
Barardo2017	hsa04066	HIF-1 signaling pathway	0.06578947368421052	0.34210526315789475	0.2631578947368421	0.4342105263157895
Calvert2016	hsa04066	HIF-1 signaling pathway	0.13157894736842105	0.34210526315789475	0.2631578947368421	0.4342105263157895
Donertas2018	hsa04066	HIF-1 signaling pathway	0.2236842105263158	0.34210526315789475	0.2631578947368421	0.4342105263157895
Fernandes2016	hsa04066	HIF-1 signaling pathway	0.13157894736842105	0.34210526315789475	0.2631578947368421	0.4342105263157895
Fuentealba2018	hsa04066	HIF-1 signaling pathway	0.18421052631578946	0.34210526315789475	0.2631578947368421	0.4342105263157895
Liu2016	hsa04066	HIF-1 signaling pathway	0.11842105263157894	0.34210526315789475	0.2631578947368421	0.4342105263157895
Mofidifar2018	hsa04066	HIF-1 signaling pathway	0	0.34210526315789475	0.2631578947368421	0.4342105263157895
Snell2016	hsa04066	HIF-1 signaling pathway	0.10526315789473684	0.34210526315789475	0.2631578947368421	0.4342105263157895
Snell2018	hsa04066	HIF-1 signaling pathway	0.10526315789473684	0.34210526315789475	0.2631578947368421	0.4342105263157895
Yang2018	hsa04066	HIF-1 signaling pathway	0	0.34210526315789475	0.2631578947368421	0.4342105263157895
Ziehm2017	hsa04066	HIF-1 signaling pathway	0.21052631578947367	0.34210526315789475	0.2631578947368421	0.4342105263157895
Aliper2016	hsa04068	FoxO signaling pathway	0.0967741935483871	0.3763440860215054	0.3870967741935484	0.4946236559139785
Barardo2017	hsa04068	FoxO signaling pathway	0.043010752688172046	0.3763440860215054	0.3870967741935484	0.4946236559139785
Calvert2016	hsa04068	FoxO signaling pathway	0.17204301075268819	0.3763440860215054	0.3870967741935484	0.4946236559139785
Donertas2018	hsa04068	FoxO signaling pathway	0.3225806451612903	0.3763440860215054	0.3870967741935484	0.4946236559139785
Fernandes2016	hsa04068	FoxO signaling pathway	0.16129032258064516	0.3763440860215054	0.3870967741935484	0.4946236559139785
Fuentealba2018	hsa04068	FoxO signaling pathway	0.20430107526881722	0.3763440860215054	0.3870967741935484	0.4946236559139785
Liu2016	hsa04068	FoxO signaling pathway	0.13978494623655913	0.3763440860215054	0.3870967741935484	0.4946236559139785
Mofidifar2018	hsa04068	FoxO signaling pathway	0	0.3763440860215054	0.3870967741935484	0.4946236559139785
Snell2016	hsa04068	FoxO signaling pathway	0.06451612903225806	0.3763440860215054	0.3870967741935484	0.4946236559139785
Snell2018	hsa04068	FoxO signaling pathway	0.11827956989247312	0.3763440860215054	0.3870967741935484	0.4946236559139785
Yang2018	hsa04068	FoxO signaling pathway	0	0.3763440860215054	0.3870967741935484	0.4946236559139785
Ziehm2017	hsa04068	FoxO signaling pathway	0.24731182795698925	0.3763440860215054	0.3870967741935484	0.4946236559139785
Aliper2016	hsa04070	Phosphatidylinositol signaling system	0	0.1875	0.25	0.4375
Barardo2017	hsa04070	Phosphatidylinositol signaling system	0.0625	0.1875	0.25	0.4375
Calvert2016	hsa04070	Phosphatidylinositol signaling system	0.125	0.1875	0.25	0.4375
Donertas2018	hsa04070	Phosphatidylinositol signaling system	0.1875	0.1875	0.25	0.4375
Fernandes2016	hsa04070	Phosphatidylinositol signaling system	0.0625	0.1875	0.25	0.4375
Fuentealba2018	hsa04070	Phosphatidylinositol signaling system	0.0625	0.1875	0.25	0.4375
Liu2016	hsa04070	Phosphatidylinositol signaling system	0.15625	0.1875	0.25	0.4375
Mofidifar2018	hsa04070	Phosphatidylinositol signaling system	0	0.1875	0.25	0.4375
Snell2016	hsa04070	Phosphatidylinositol signaling system	0.0625	0.1875	0.25	0.4375
Snell2018	hsa04070	Phosphatidylinositol signaling system	0.09375	0.1875	0.25	0.4375
Yang2018	hsa04070	Phosphatidylinositol signaling system	0	0.1875	0.25	0.4375
Ziehm2017	hsa04070	Phosphatidylinositol signaling system	0.34375	0.1875	0.25	0.4375
Aliper2016	hsa04071	Sphingolipid signaling pathway	0.10144927536231885	0.2753623188405797	0.3188405797101449	0.4782608695652174
Barardo2017	hsa04071	Sphingolipid signaling pathway	0.11594202898550725	0.2753623188405797	0.3188405797101449	0.4782608695652174
Calvert2016	hsa04071	Sphingolipid signaling pathway	0.14492753623188406	0.2753623188405797	0.3188405797101449	0.4782608695652174
Donertas2018	hsa04071	Sphingolipid signaling pathway	0.21739130434782608	0.2753623188405797	0.3188405797101449	0.4782608695652174
Fernandes2016	hsa04071	Sphingolipid signaling pathway	0.17391304347826086	0.2753623188405797	0.3188405797101449	0.4782608695652174
Fuentealba2018	hsa04071	Sphingolipid signaling pathway	0.2028985507246377	0.2753623188405797	0.3188405797101449	0.4782608695652174
Liu2016	hsa04071	Sphingolipid signaling pathway	0.13043478260869565	0.2753623188405797	0.3188405797101449	0.4782608695652174
Mofidifar2018	hsa04071	Sphingolipid signaling pathway	0	0.2753623188405797	0.3188405797101449	0.4782608695652174
Snell2016	hsa04071	Sphingolipid signaling pathway	0.10144927536231885	0.2753623188405797	0.3188405797101449	0.4782608695652174
Snell2018	hsa04071	Sphingolipid signaling pathway	0.14492753623188406	0.2753623188405797	0.3188405797101449	0.4782608695652174
Yang2018	hsa04071	Sphingolipid signaling pathway	0	0.2753623188405797	0.3188405797101449	0.4782608695652174
Ziehm2017	hsa04071	Sphingolipid signaling pathway	0.2608695652173913	0.2753623188405797	0.3188405797101449	0.4782608695652174
Aliper2016	hsa04072	Phospholipase D signaling pathway	0.04938271604938271	0.24691358024691357	0.24691358024691357	0.38271604938271603
Barardo2017	hsa04072	Phospholipase D signaling pathway	0.06172839506172839	0.24691358024691357	0.24691358024691357	0.38271604938271603
Calvert2016	hsa04072	Phospholipase D signaling pathway	0.12345679012345678	0.24691358024691357	0.24691358024691357	0.38271604938271603
Donertas2018	hsa04072	Phospholipase D signaling pathway	0.14814814814814814	0.24691358024691357	0.24691358024691357	0.38271604938271603
Fernandes2016	hsa04072	Phospholipase D signaling pathway	0.14814814814814814	0.24691358024691357	0.24691358024691357	0.38271604938271603
Fuentealba2018	hsa04072	Phospholipase D signaling pathway	0.19753086419753085	0.24691358024691357	0.24691358024691357	0.38271604938271603
Liu2016	hsa04072	Phospholipase D signaling pathway	0.18518518518518517	0.24691358024691357	0.24691358024691357	0.38271604938271603
Mofidifar2018	hsa04072	Phospholipase D signaling pathway	0.012345679012345678	0.24691358024691357	0.24691358024691357	0.38271604938271603
Snell2016	hsa04072	Phospholipase D signaling pathway	0.06172839506172839	0.24691358024691357	0.24691358024691357	0.38271604938271603
Snell2018	hsa04072	Phospholipase D signaling pathway	0.07407407407407407	0.24691358024691357	0.24691358024691357	0.38271604938271603
Yang2018	hsa04072	Phospholipase D signaling pathway	0	0.24691358024691357	0.24691358024691357	0.38271604938271603
Ziehm2017	hsa04072	Phospholipase D signaling pathway	0.24691358024691357	0.24691358024691357	0.24691358024691357	0.38271604938271603
Aliper2016	hsa04080	Neuroactive ligand-receptor interaction	0.03137254901960784	0.03529411764705882	0.0196078431372549	0.23529411764705882
Barardo2017	hsa04080	Neuroactive ligand-receptor interaction	0.054901960784313725	0.03529411764705882	0.0196078431372549	0.23529411764705882
Calvert2016	hsa04080	Neuroactive ligand-receptor interaction	0	0.03529411764705882	0.0196078431372549	0.23529411764705882
Donertas2018	hsa04080	Neuroactive ligand-receptor interaction	0.0784313725490196	0.03529411764705882	0.0196078431372549	0.23529411764705882
Fernandes2016	hsa04080	Neuroactive ligand-receptor interaction	0.03529411764705882	0.03529411764705882	0.0196078431372549	0.23529411764705882
Fuentealba2018	hsa04080	Neuroactive ligand-receptor interaction	0	0.03529411764705882	0.0196078431372549	0.23529411764705882
Liu2016	hsa04080	Neuroactive ligand-receptor interaction	0.2549019607843137	0.03529411764705882	0.0196078431372549	0.23529411764705882
Mofidifar2018	hsa04080	Neuroactive ligand-receptor interaction	0.00392156862745098	0.03529411764705882	0.0196078431372549	0.23529411764705882
Snell2016	hsa04080	Neuroactive ligand-receptor interaction	0.047058823529411764	0.03529411764705882	0.0196078431372549	0.23529411764705882
Snell2018	hsa04080	Neuroactive ligand-receptor interaction	0.08235294117647059	0.03529411764705882	0.0196078431372549	0.23529411764705882
Yang2018	hsa04080	Neuroactive ligand-receptor interaction	0	0.03529411764705882	0.0196078431372549	0.23529411764705882
Ziehm2017	hsa04080	Neuroactive ligand-receptor interaction	0	0.03529411764705882	0.0196078431372549	0.23529411764705882
Aliper2016	hsa04110	Cell cycle	0.1206896551724138	0.39655172413793105	0.22413793103448276	0.4482758620689655
Barardo2017	hsa04110	Cell cycle	0.05172413793103448	0.39655172413793105	0.22413793103448276	0.4482758620689655
Calvert2016	hsa04110	Cell cycle	0.1206896551724138	0.39655172413793105	0.22413793103448276	0.4482758620689655
Donertas2018	hsa04110	Cell cycle	0.3448275862068966	0.39655172413793105	0.22413793103448276	0.4482758620689655
Fernandes2016	hsa04110	Cell cycle	0.15517241379310345	0.39655172413793105	0.22413793103448276	0.4482758620689655
Fuentealba2018	hsa04110	Cell cycle	0.1896551724137931	0.39655172413793105	0.22413793103448276	0.4482758620689655
Liu2016	hsa04110	Cell cycle	0.13793103448275862	0.39655172413793105	0.22413793103448276	0.4482758620689655
Mofidifar2018	hsa04110	Cell cycle	0	0.39655172413793105	0.22413793103448276	0.4482758620689655
Snell2016	hsa04110	Cell cycle	0.1206896551724138	0.39655172413793105	0.22413793103448276	0.4482758620689655
Snell2018	hsa04110	Cell cycle	0.10344827586206896	0.39655172413793105	0.22413793103448276	0.4482758620689655
Yang2018	hsa04110	Cell cycle	0	0.39655172413793105	0.22413793103448276	0.4482758620689655
Ziehm2017	hsa04110	Cell cycle	0.13793103448275862	0.39655172413793105	0.22413793103448276	0.4482758620689655
Aliper2016	hsa04114	Oocyte meiosis	0.0975609756097561	0.14634146341463414	0.4146341463414634	0.24390243902439024
Barardo2017	hsa04114	Oocyte meiosis	0	0.14634146341463414	0.4146341463414634	0.24390243902439024
Calvert2016	hsa04114	Oocyte meiosis	0.024390243902439025	0.14634146341463414	0.4146341463414634	0.24390243902439024
Donertas2018	hsa04114	Oocyte meiosis	0.0975609756097561	0.14634146341463414	0.4146341463414634	0.24390243902439024
Fernandes2016	hsa04114	Oocyte meiosis	0.024390243902439025	0.14634146341463414	0.4146341463414634	0.24390243902439024
Fuentealba2018	hsa04114	Oocyte meiosis	0.07317073170731707	0.14634146341463414	0.4146341463414634	0.24390243902439024
Liu2016	hsa04114	Oocyte meiosis	0.1951219512195122	0.14634146341463414	0.4146341463414634	0.24390243902439024
Mofidifar2018	hsa04114	Oocyte meiosis	0	0.14634146341463414	0.4146341463414634	0.24390243902439024
Snell2016	hsa04114	Oocyte meiosis	0.04878048780487805	0.14634146341463414	0.4146341463414634	0.24390243902439024
Snell2018	hsa04114	Oocyte meiosis	0.04878048780487805	0.14634146341463414	0.4146341463414634	0.24390243902439024
Yang2018	hsa04114	Oocyte meiosis	0	0.14634146341463414	0.4146341463414634	0.24390243902439024
Ziehm2017	hsa04114	Oocyte meiosis	0.0975609756097561	0.14634146341463414	0.4146341463414634	0.24390243902439024
Aliper2016	hsa04115	p53 signaling pathway	0.075	0.375	0.3	0.45
Barardo2017	hsa04115	p53 signaling pathway	0.125	0.375	0.3	0.45
Calvert2016	hsa04115	p53 signaling pathway	0.075	0.375	0.3	0.45
Donertas2018	hsa04115	p53 signaling pathway	0.325	0.375	0.3	0.45
Fernandes2016	hsa04115	p53 signaling pathway	0.175	0.375	0.3	0.45
Fuentealba2018	hsa04115	p53 signaling pathway	0.125	0.375	0.3	0.45
Liu2016	hsa04115	p53 signaling pathway	0.175	0.375	0.3	0.45
Mofidifar2018	hsa04115	p53 signaling pathway	0	0.375	0.3	0.45
Snell2016	hsa04115	p53 signaling pathway	0.125	0.375	0.3	0.45
Snell2018	hsa04115	p53 signaling pathway	0.2	0.375	0.3	0.45
Yang2018	hsa04115	p53 signaling pathway	0	0.375	0.3	0.45
Ziehm2017	hsa04115	p53 signaling pathway	0.125	0.375	0.3	0.45
Aliper2016	hsa04120	Ubiquitin mediated proteolysis	0.13043478260869565	0.13043478260869565	0.043478260869565216	0.2608695652173913
Barardo2017	hsa04120	Ubiquitin mediated proteolysis	0.043478260869565216	0.13043478260869565	0.043478260869565216	0.2608695652173913
Calvert2016	hsa04120	Ubiquitin mediated proteolysis	0.043478260869565216	0.13043478260869565	0.043478260869565216	0.2608695652173913
Donertas2018	hsa04120	Ubiquitin mediated proteolysis	0.17391304347826086	0.13043478260869565	0.043478260869565216	0.2608695652173913
Fernandes2016	hsa04120	Ubiquitin mediated proteolysis	0.13043478260869565	0.13043478260869565	0.043478260869565216	0.2608695652173913
Fuentealba2018	hsa04120	Ubiquitin mediated proteolysis	0.13043478260869565	0.13043478260869565	0.043478260869565216	0.2608695652173913
Liu2016	hsa04120	Ubiquitin mediated proteolysis	0	0.13043478260869565	0.043478260869565216	0.2608695652173913
Mofidifar2018	hsa04120	Ubiquitin mediated proteolysis	0	0.13043478260869565	0.043478260869565216	0.2608695652173913
Snell2016	hsa04120	Ubiquitin mediated proteolysis	0.21739130434782608	0.13043478260869565	0.043478260869565216	0.2608695652173913
Snell2018	hsa04120	Ubiquitin mediated proteolysis	0.08695652173913043	0.13043478260869565	0.043478260869565216	0.2608695652173913
Yang2018	hsa04120	Ubiquitin mediated proteolysis	0	0.13043478260869565	0.043478260869565216	0.2608695652173913
Ziehm2017	hsa04120	Ubiquitin mediated proteolysis	0.08695652173913043	0.13043478260869565	0.043478260869565216	0.2608695652173913
Aliper2016	hsa04122	Sulfur relay system	0	0	0	0
Barardo2017	hsa04122	Sulfur relay system	0	0	0	0
Calvert2016	hsa04122	Sulfur relay system	0	0	0	0
Donertas2018	hsa04122	Sulfur relay system	0	0	0	0
Fernandes2016	hsa04122	Sulfur relay system	0	0	0	0
Fuentealba2018	hsa04122	Sulfur relay system	0	0	0	0
Liu2016	hsa04122	Sulfur relay system	0	0	0	0
Mofidifar2018	hsa04122	Sulfur relay system	0	0	0	0
Snell2016	hsa04122	Sulfur relay system	0	0	0	0
Snell2018	hsa04122	Sulfur relay system	0	0	0	0
Yang2018	hsa04122	Sulfur relay system	0	0	0	0
Ziehm2017	hsa04122	Sulfur relay system	0	0	0	0
Aliper2016	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Barardo2017	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Calvert2016	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Donertas2018	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Fernandes2016	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Fuentealba2018	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Liu2016	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Mofidifar2018	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Snell2016	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Snell2018	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Yang2018	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Ziehm2017	hsa04130	SNARE interactions in vesicular transport	0	0	0	0
Aliper2016	hsa04136	Autophagy	0	0.2	0.4	0.6
Barardo2017	hsa04136	Autophagy	0	0.2	0.4	0.6
Calvert2016	hsa04136	Autophagy	0.2	0.2	0.4	0.6
Donertas2018	hsa04136	Autophagy	0.2	0.2	0.4	0.6
Fernandes2016	hsa04136	Autophagy	0.2	0.2	0.4	0.6
Fuentealba2018	hsa04136	Autophagy	0	0.2	0.4	0.6
Liu2016	hsa04136	Autophagy	0	0.2	0.4	0.6
Mofidifar2018	hsa04136	Autophagy	0	0.2	0.4	0.6
Snell2016	hsa04136	Autophagy	0	0.2	0.4	0.6
Snell2018	hsa04136	Autophagy	0	0.2	0.4	0.6
Yang2018	hsa04136	Autophagy	0	0.2	0.4	0.6
Ziehm2017	hsa04136	Autophagy	0.6	0.2	0.4	0.6
Aliper2016	hsa04137	Mitophagy	0.2	0.4	0.4	0.45
Barardo2017	hsa04137	Mitophagy	0.15	0.4	0.4	0.45
Calvert2016	hsa04137	Mitophagy	0.25	0.4	0.4	0.45
Donertas2018	hsa04137	Mitophagy	0.4	0.4	0.4	0.45
Fernandes2016	hsa04137	Mitophagy	0.2	0.4	0.4	0.45
Fuentealba2018	hsa04137	Mitophagy	0.35	0.4	0.4	0.45
Liu2016	hsa04137	Mitophagy	0.05	0.4	0.4	0.45
Mofidifar2018	hsa04137	Mitophagy	0	0.4	0.4	0.45
Snell2016	hsa04137	Mitophagy	0.1	0.4	0.4	0.45
Snell2018	hsa04137	Mitophagy	0.15	0.4	0.4	0.45
Yang2018	hsa04137	Mitophagy	0	0.4	0.4	0.45
Ziehm2017	hsa04137	Mitophagy	0.25	0.4	0.4	0.45
Aliper2016	hsa04140	Autophagy	0.12307692307692308	0.2923076923076923	0.5076923076923077	0.5692307692307692
Barardo2017	hsa04140	Autophagy	0.06153846153846154	0.2923076923076923	0.5076923076923077	0.5692307692307692
Calvert2016	hsa04140	Autophagy	0.2153846153846154	0.2923076923076923	0.5076923076923077	0.5692307692307692
Donertas2018	hsa04140	Autophagy	0.26153846153846155	0.2923076923076923	0.5076923076923077	0.5692307692307692
Fernandes2016	hsa04140	Autophagy	0.2	0.2923076923076923	0.5076923076923077	0.5692307692307692
Fuentealba2018	hsa04140	Autophagy	0.18461538461538463	0.2923076923076923	0.5076923076923077	0.5692307692307692
Liu2016	hsa04140	Autophagy	0.07692307692307693	0.2923076923076923	0.5076923076923077	0.5692307692307692
Mofidifar2018	hsa04140	Autophagy	0	0.2923076923076923	0.5076923076923077	0.5692307692307692
Snell2016	hsa04140	Autophagy	0.046153846153846156	0.2923076923076923	0.5076923076923077	0.5692307692307692
Snell2018	hsa04140	Autophagy	0.09230769230769231	0.2923076923076923	0.5076923076923077	0.5692307692307692
Yang2018	hsa04140	Autophagy	0	0.2923076923076923	0.5076923076923077	0.5692307692307692
Ziehm2017	hsa04140	Autophagy	0.23076923076923078	0.2923076923076923	0.5076923076923077	0.5692307692307692
Aliper2016	hsa04141	Protein processing in endoplasmic reticulum	0.12903225806451613	0.3225806451612903	0.1935483870967742	0.25806451612903225
Barardo2017	hsa04141	Protein processing in endoplasmic reticulum	0.0967741935483871	0.3225806451612903	0.1935483870967742	0.25806451612903225
Calvert2016	hsa04141	Protein processing in endoplasmic reticulum	0.1935483870967742	0.3225806451612903	0.1935483870967742	0.25806451612903225
Donertas2018	hsa04141	Protein processing in endoplasmic reticulum	0.3548387096774194	0.3225806451612903	0.1935483870967742	0.25806451612903225
Fernandes2016	hsa04141	Protein processing in endoplasmic reticulum	0.03225806451612903	0.3225806451612903	0.1935483870967742	0.25806451612903225
Fuentealba2018	hsa04141	Protein processing in endoplasmic reticulum	0.16129032258064516	0.3225806451612903	0.1935483870967742	0.25806451612903225
Liu2016	hsa04141	Protein processing in endoplasmic reticulum	0.16129032258064516	0.3225806451612903	0.1935483870967742	0.25806451612903225
Mofidifar2018	hsa04141	Protein processing in endoplasmic reticulum	0	0.3225806451612903	0.1935483870967742	0.25806451612903225
Snell2016	hsa04141	Protein processing in endoplasmic reticulum	0.12903225806451613	0.3225806451612903	0.1935483870967742	0.25806451612903225
